link,latitude,longitude,valor,iptu,condominio,area,quartos,banheiros,suites,vagas
https://www.vivareal.com.br/imovel/apartamento-1-quartos-boa-viagem-bairros-recife-com-garagem-45m2-venda-RS280000-id-2446201340/,-8.098272,-34.884483,R$ 280.000,Não informado,Não informado,45,1,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-1-quartos-boa-viagem-bairros-recife-com-garagem-49m2-venda-RS255000-id-2432045980/,-8.117739,-34.896352,R$ 255.000,R$ 110,R$ 406,49,1,1,,1
https://www.vivareal.com.br/imovel/apartamento-1-quartos-boa-viagem-bairros-recife-com-garagem-48m2-venda-RS390000-id-2444753576/,-8.147208,-34.908238,R$ 390.000,Não informado,Não informado,48,1,1,1 suíte,1
https://www.vivareal.com.br/imoveis-lancamento/edf-praca-das-casuarinas-2431690484/,-8.031025,-34.896015,R$ 342.000,,,61,3,1,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-185m2-venda-RS1250000-id-2437198718/,-8.116937,-34.89949,R$ 1.250.000,R$ 5.000,R$ 1.000,185,4,5,4 suítes,3
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-52m2-venda-RS249900-id-1042207652/,-8.122004,-34.905281,R$ 249.900,R$ 1.000,R$ 270,52,2,1,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-137m2-venda-RS770000-id-1039683608/,-8.107489,-34.893042,R$ 770.000,R$ 3.000,R$ 730,137,4,5,4 suítes,2
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-400m2-venda-RS3000000-id-2165655481/,-8.120156,-34.894884,R$ 3.000.000,R$ 10.000,R$ 3.500,400,4,6,4 suítes,3
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-82m2-venda-RS700000-id-2445713807/,-8.115011,-34.898948,R$ 700.000,Não informado,Não informado,82,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-200m2-venda-RS850000-id-80139119/,-8.139524,-34.905679,R$ 850.000,R$ 360,R$ 1.020,200,4,5,3 suítes,2
